feature,importance
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,2.4275
CC_AMT_INST_MIN_REGULARITY_MIN,2.38
APPROVED_AMT_GOODS_PRICE_MAX,2.375
NEW_RATIO_PREV_RATE_DOWN_PAYMENT_MEAN,2.37
DEF_30_CNT_SOCIAL_CIRCLE,2.3675
NEW_RATIO_PREV_AMT_DOWN_PAYMENT_MEAN,2.355
CNT_FAM_MEMBERS,2.345
BURO_STATUS_5_MEAN_MEAN,2.335
CC_AMT_INST_MIN_REGULARITY_MAX,2.335
NEW_LIVE_IND_SUM,2.3125
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,2.31
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,2.235
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,2.2325
CC_AMT_BALANCE_MEAN,2.225
REFUSED_AMT_DOWN_PAYMENT_MEAN,2.2075
REFUSED_RATE_DOWN_PAYMENT_MEAN,2.205
CC_AMT_DRAWINGS_CURRENT_MIN,2.2
